gender,variable,est,value,type,group
Female,fat_percentage,mean,41.88994708994709,Continuous,NA
Female,fat_percentage,sd,4.958405202549769,Continuous,NA
Female,fat_percentage,median,42,Continuous,NA
Female,fat_percentage,q25,38.849999999999994,Continuous,NA
Female,fat_percentage,q75,45.3,Continuous,NA
Female,fat_percentage,min,21.3,Continuous,NA
Female,fat_percentage,max,54.4,Continuous,NA
Female,fat_percentage,freq,567,Continuous,NA
Female,fat_percentage,missing,1329,Continuous,NA
Female,bmi,mean,33.78646900269542,Continuous,NA
Female,bmi,sd,8.429000075443541,Continuous,NA
Female,bmi,median,32.5,Continuous,NA
Female,bmi,q25,27.9,Continuous,NA
Female,bmi,q75,38.05,Continuous,NA
Female,bmi,min,16.8,Continuous,NA
Female,bmi,max,84.4,Continuous,NA
Female,bmi,freq,1855,Continuous,NA
Female,bmi,missing,41,Continuous,NA
Male,fat_percentage,mean,30.03782894736842,Continuous,NA
Male,fat_percentage,sd,5.640155210427362,Continuous,NA
Male,fat_percentage,median,29.8,Continuous,NA
Male,fat_percentage,q25,26.4,Continuous,NA
Male,fat_percentage,q75,33.425,Continuous,NA
Male,fat_percentage,min,14.1,Continuous,NA
Male,fat_percentage,max,52.1,Continuous,NA
Male,fat_percentage,freq,608,Continuous,NA
Male,fat_percentage,missing,1477,Continuous,NA
Male,bmi,mean,31.142232055063914,Continuous,NA
Male,bmi,sd,6.79227021771893,Continuous,NA
Male,bmi,median,30,Continuous,NA
Male,bmi,q25,26.5,Continuous,NA
Male,bmi,q75,34.4,Continuous,NA
Male,bmi,min,16,Continuous,NA
Male,bmi,max,61.9,Continuous,NA
Male,bmi,freq,2034,Continuous,NA
Male,bmi,missing,51,Continuous,NA
Total,fat_percentage,mean,35.757106382978726,Continuous,NA
Total,fat_percentage,sd,7.96278921376038,Continuous,NA
Total,fat_percentage,median,35.9,Continuous,NA
Total,fat_percentage,q25,29.4,Continuous,NA
Total,fat_percentage,q75,42,Continuous,NA
Total,fat_percentage,min,14.1,Continuous,NA
Total,fat_percentage,max,54.4,Continuous,NA
Total,fat_percentage,freq,1175,Continuous,NA
Total,fat_percentage,missing,2806,Continuous,NA
Total,bmi,mean,32.40349704294163,Continuous,NA
Total,bmi,sd,7.729661891229814,Continuous,NA
Total,bmi,median,31.1,Continuous,NA
Total,bmi,q25,27.1,Continuous,NA
Total,bmi,q75,36.2,Continuous,NA
Total,bmi,min,16,Continuous,NA
Total,bmi,max,84.4,Continuous,NA
Total,bmi,freq,3889,Continuous,NA
Total,bmi,missing,92,Continuous,NA
Female,bmi_category,proportion,11.814345991561181,Grouped,18.5-24.9
Female,bmi_category,freq,224,Grouped,18.5-24.9
Female,bmi_category,proportion,22.78481012658228,Grouped,25-29.9
Female,bmi_category,freq,432,Grouped,25-29.9
Female,bmi_category,proportion,43.82911392405063,Grouped,30-39.9
Female,bmi_category,freq,831,Grouped,30-39.9
Female,bmi_category,proportion,0.4219409282700422,Grouped,<18.5
Female,bmi_category,freq,8,Grouped,<18.5
Female,bmi_category,proportion,21.149789029535864,Grouped,>= 40
Female,bmi_category,freq,401,Grouped,>= 40
Male,bmi_category,proportion,14.916067146282973,Grouped,18.5-24.9
Male,bmi_category,freq,311,Grouped,18.5-24.9
Male,bmi_category,proportion,33.04556354916067,Grouped,25-29.9
Male,bmi_category,freq,689,Grouped,25-29.9
Male,bmi_category,proportion,38.84892086330935,Grouped,30-39.9
Male,bmi_category,freq,810,Grouped,30-39.9
Male,bmi_category,proportion,0.38369304556354916,Grouped,<18.5
Male,bmi_category,freq,8,Grouped,<18.5
Male,bmi_category,proportion,12.805755395683454,Grouped,>= 40
Male,bmi_category,freq,267,Grouped,>= 40
Total,bmi_category,proportion,13.438834463702587,Grouped,18.5-24.9
Total,bmi_category,freq,535,Grouped,18.5-24.9
Total,bmi_category,proportion,28.158754081888972,Grouped,25-29.9
Total,bmi_category,freq,1121,Grouped,25-29.9
Total,bmi_category,proportion,41.220798794272795,Grouped,30-39.9
Total,bmi_category,freq,1641,Grouped,30-39.9
Total,bmi_category,proportion,0.4019090680733484,Grouped,<18.5
Total,bmi_category,freq,16,Grouped,<18.5
Total,bmi_category,proportion,16.779703592062297,Grouped,>= 40
Total,bmi_category,freq,668,Grouped,>= 40
Female,bf_category,proportion,0.3527336860670194,Grouped,0
Female,bf_category,freq,2,Grouped,0
Female,bf_category,proportion,1.9400352733686066,Grouped,1
Female,bf_category,freq,11,Grouped,1
Female,bf_category,proportion,5.64373897707231,Grouped,2
Female,bf_category,freq,32,Grouped,2
Female,bf_category,proportion,92.06349206349206,Grouped,3
Female,bf_category,freq,522,Grouped,3
Male,bf_category,proportion,4.276315789473684,Grouped,1
Male,bf_category,freq,26,Grouped,1
Male,bf_category,proportion,11.677631578947368,Grouped,2
Male,bf_category,freq,71,Grouped,2
Male,bf_category,proportion,84.04605263157895,Grouped,3
Male,bf_category,freq,511,Grouped,3
Total,bf_category,proportion,0.1702127659574468,Grouped,0
Total,bf_category,freq,2,Grouped,0
Total,bf_category,proportion,3.148936170212766,Grouped,1
Total,bf_category,freq,37,Grouped,1
Total,bf_category,proportion,8.76595744680851,Grouped,2
Total,bf_category,freq,103,Grouped,2
Total,bf_category,proportion,87.91489361702128,Grouped,3
Total,bf_category,freq,1033,Grouped,3
