variable,female DM,female NoDM,female PreDM,male DM,male NoDM,male PreDM
BMI,"33.9 	 (32.8, 35)","26 	 (25.5, 26.5)","30 	 (29.4, 30.5)","31.4 	 (30.5, 32.4)","26.1 	 (25.6, 26.6)","28.2 	 (27.8, 28.7)"
Fat percentage,"40.9 	 (40, 41.7)","36.6 	 (36.1, 37.1)","39.5 	 (38.9, 40.1)","29.3 	 (28.5, 30.1)","25.2 	 (24.7, 25.7)","27.2 	 (26.8, 27.7)"
Visceral fat mass,"685.9 	 (643.9, 728)","336.7 	 (318.5, 354.8)","497.2 	 (472.7, 521.7)","665.6 	 (629.8, 701.5)","411.5 	 (396.7, 426.4)","494.1 	 (478.9, 509.4)"
Subcutaneous fat mass,"2346.9 	 (2228.1, 2465.8)","1613 	 (1553.3, 1672.8)","2023.9 	 (1954, 2093.7)","1647 	 (1545.2, 1748.8)","1030.9 	 (971.8, 1090.1)","1309.5 	 (1256.4, 1362.6)"
Waistcircumference,"107.6 	 (105.2, 110)","87.6 	 (86.4, 88.7)","97 	 (95.6, 98.5)","107.2 	 (104.8, 109.6)","91.7 	 (90.5, 92.9)","97.8 	 (96.6, 98.9)"
Waist-to-Height Ratio,"0.7 	 (0.7, 0.7)","0.5 	 (0.5, 0.6)","0.6 	 (0.6, 0.6)","0.6 	 (0.6, 0.6)","0.5 	 (0.5, 0.5)","0.6 	 (0.6, 0.6)"
Fasting glucose,"162.8 	 (155.1, 170.6)","90.7 	 (90, 91.4)","103.3 	 (102.4, 104.2)","169.3 	 (160, 178.6)","92.3 	 (91.5, 93)","105.1 	 (104.2, 105.9)"
Glycohemoglobin,"7.4 	 (7.1, 7.6)","5.2 	 (5.2, 5.3)","5.6 	 (5.5, 5.6)","7.5 	 (7.2, 7.8)","5.3 	 (5.2, 5.3)","5.5 	 (5.4, 5.5)"
SBP,"121.8 	 (119.3, 124.3)","113.1 	 (111.9, 114.2)","117.1 	 (115.7, 118.4)","125.1 	 (121.9, 128.2)","119.1 	 (117.8, 120.3)","122.2 	 (121, 123.5)"
DBP,"71.2 	 (69.4, 72.9)","68.5 	 (67.7, 69.3)","70.5 	 (69.2, 71.8)","75.6 	 (73.9, 77.3)","70.7 	 (69.6, 71.7)","73.5 	 (72.4, 74.5)"
LDL,"110.5 	 (103.1, 117.8)","106.5 	 (103.6, 109.4)","117.9 	 (114.5, 121.3)","102.8 	 (95.8, 109.8)","112.2 	 (109.2, 115.2)","116.8 	 (113.6, 119.9)"
HDL,"47.3 	 (45.2, 49.5)","62.9 	 (61.6, 64.2)","55 	 (53.7, 56.4)","41.9 	 (40.4, 43.4)","51.1 	 (49.9, 52.4)","48.3 	 (47.4, 49.3)"
Triglyceride,"177 	 (138.5, 215.5)","86.5 	 (80.5, 92.5)","107.3 	 (100.4, 114.1)","163.3 	 (141.1, 185.4)","112.4 	 (105.5, 119.2)","134.3 	 (125.2, 143.3)"
Total cholesterol,"191.1 	 (183.6, 198.7)","186.3 	 (183.4, 189.2)","193.8 	 (190.3, 197.3)","176.2 	 (167.6, 184.8)","185.3 	 (181.9, 188.6)","191 	 (187.5, 194.5)"
