outcome,model_type,predictor,OR,CI_low,CI_high,p,N
DM vs NoDM,single,bmi,3.35374235645448,2.873329802979366,3.9144785195956917,1.598834368810797e-21,5168
DM vs NoDM,single,fat_percentage,3.134965386871335,2.4336650686390016,4.038356840276932,3.754008663440834e-12,5168
DM vs NoDM,single,visceral_fat,4.066994960670909,3.4592661090799277,4.78149049207489,1.5254509086028524e-23,5168
DM vs NoDM,single,waistcircumference,3.9972689463824276,3.4286446083368722,4.660196915965515,2.2638359178555525e-24,5168
DM vs NoDM,single,WHtR,4.023093700599725,3.402905483530015,4.756312804496508,1.0368421279953962e-22,5168
DM vs NoDM,incremental,fat_percentage,0.7221574519467483,0.4844709850971896,1.0764553532501018,0.11582008329993614,5168
DM vs NoDM,incremental,visceral_fat,2.926293436453757,2.4046321114840823,3.5611240635671866,5.5331350371813826e-15,5168
DM vs NoDM,incremental,waistcircumference,5.177238396670082,3.335658839348307,8.03553322053514,1.1944036704024562e-9,5168
DM vs NoDM,incremental,WHtR,4.95081618087951,2.888371210780709,8.485952486084127,3.332865545542891e-7,5168
PreDM vs NoDM,single,bmi,1.7505415438940914,1.607811663713711,1.9059419495819505,2.828330356021885e-18,5168
PreDM vs NoDM,single,fat_percentage,1.8256092624097715,1.6325042761558504,2.041556170893713,7.848309398307732e-15,5168
PreDM vs NoDM,single,visceral_fat,1.9206968868751793,1.7576204603364218,2.0989039525324418,2.4857913930710378e-20,5168
PreDM vs NoDM,single,waistcircumference,1.8328870921761422,1.6688870880018867,2.0130032264124726,6.038625805945905e-18,5168
PreDM vs NoDM,single,WHtR,1.8743914667286776,1.71595499988238,2.047456588771911,1.0608449698344129e-19,5168
PreDM vs NoDM,incremental,fat_percentage,1.1214775779775559,0.9247177274614926,1.3601036516938398,0.24921526491030588,5168
PreDM vs NoDM,incremental,visceral_fat,1.5708353513702134,1.367159707734249,1.8048540248481515,4.264877751518612e-8,5168
PreDM vs NoDM,incremental,waistcircumference,1.7478510597762054,1.2861361571877874,2.3753187483980738,7.639842238214991e-4,5168
PreDM vs NoDM,incremental,WHtR,2.0448903262363483,1.4814298963387469,2.822662386299534,6.088877387200759e-5,5168
