outcome,model_type,predictor,beta_linear,SE_linear,p_linear,LR_statistic,LR_df,p_nonlinearity,N
FPG,single,bmi,5.8442266153715865,0.4137035741288589,6.043200693795378e-20,15923.01356697362,3,0,5168
FPG,single,fat_percentage,5.2451080186609325,0.5331980538606385,1.0018340568669685e-13,688.501541595906,3,0,5168
FPG,single,visceral_fat,8.017816455860627,0.4674017670085278,9.748871828330965e-24,16659.64298713673,3,0,5168
FPG,single,waistcircumference,6.818384872942293,0.43157785543425964,4.25365665220244e-22,22340.14680999238,3,0,5168
FPG,single,WHtR,6.878199127630743,0.4516223610586974,2.210088975710409e-21,28317.71846176358,3,0,5168
FPG,incremental,fat_percentage,-1.947434583240749,1.0727768020469892,0.07502916377075533,7908.6281234892085,3,0,5168
FPG,incremental,visceral_fat,7.506586550928438,0.8444887040547946,3.725534791178935e-12,19762.864257713314,3,0,5168
FPG,incremental,waistcircumference,9.941191662788418,1.4402074985150082,5.93001778070609e-9,24134.132154033054,3,0,5168
FPG,incremental,WHtR,10.641178019906334,1.7288432279044965,9.609268458987133e-8,32797.12116804393,3,0,5168
A1c,single,bmi,0.18490086265615674,0.012821829879293667,2.464885472964633e-20,20.46721723399469,3,1.358048895422348e-4,5168
A1c,single,fat_percentage,0.14403013838839704,0.018279277394180764,1.3714720742286092e-10,3.5174169222677847,3,0.3185102200925245,5168
A1c,single,visceral_fat,0.23811240591537614,0.017640362827705702,4.2569922716503477e-19,41.383963437912826,3,5.421013971051991e-9,5168
A1c,single,waistcircumference,0.20906298433428405,0.012570869653583797,4.0869067409101316e-23,43.421225703234086,3,2.0029448100089553e-9,5168
A1c,single,WHtR,0.21233735107609894,0.013033993379052715,1.0534561870746453e-22,48.84991979610004,3,1.404037996977081e-10,5168
A1c,incremental,fat_percentage,-0.11443752397935215,0.03122793866014178,5.659965950475399e-4,10.782580884801973,3,0.012961557094692933,5168
A1c,incremental,visceral_fat,0.20430767156594154,0.030394654297311734,1.1653491490839759e-8,50.525921520651536,3,6.172862221376363e-11,5168
A1c,incremental,waistcircumference,0.26309374144015296,0.03741075682655154,3.6475933950987175e-9,45.10462348644933,3,8.790895789090314e-10,5168
A1c,incremental,WHtR,0.2902776472967207,0.046634215678516236,7.426861924281668e-8,53.55949859214843,3,1.3930079312274302e-11,5168
