dm_sex_age,n_unweighted,n_weighted,se_weighted
female DM <45,90,7692076.853035574,948254.6039582439
female DM >=45,165,14157068.686943803,1597996.4534101926
female NoDM <45,1106,122355120.64912912,5427537.306564993
female NoDM >=45,304,44632160.65099549,3701987.5793169374
female PreDM <45,464,47902985.552503124,3373521.8942679004
female PreDM >=45,434,51864525.04230783,4220006.26815048
male DM <45,90,8880924.678890523,1214484.1162223446
male DM >=45,212,19332219.728461195,1960595.9588844578
male NoDM <45,878,101389929.1728061,4969878.885642765
male NoDM >=45,214,30964465.924761426,3239928.0570504833
male PreDM <45,780,88205120.86180754,4827693.6882349
male PreDM >=45,431,55590144.00665134,4272236.556384326
