sex,year,dm,estimate,CI_lower,CI_upper,variable
female,2011-2012,DM,34.406958924317465,32.261106878715225,36.5528109699197,BMI
female,2011-2012,NoDM,26.362462875051126,25.482774711751766,27.242151038350485,BMI
female,2011-2012,PreDM,30.2639172958393,29.30767904373151,31.220155547947087,BMI
female,2013-2014,DM,33.547070146421646,31.317266724493273,35.77687356835002,BMI
female,2013-2014,NoDM,26.970402095665822,26.66143795036494,27.279366240966702,BMI
female,2013-2014,PreDM,31.288873818900512,30.403486162909008,32.17426147489201,BMI
female,2015-2016,DM,33.06130299569668,32.15030530695843,33.97230068443493,BMI
female,2015-2016,NoDM,26.996953181055193,26.18844328586269,27.805463076247698,BMI
female,2015-2016,PreDM,30.8013195136865,29.555512271366368,32.047126756006634,BMI
female,2017-2018,DM,34.55625102058684,32.624231922752,36.48827011842168,BMI
female,2017-2018,NoDM,26.65210708961468,25.568273064025608,27.735941115203754,BMI
female,2017-2018,PreDM,30.259235220928346,29.543327813803188,30.975142628053504,BMI
male,2011-2012,DM,32.35843094066071,29.75531065302478,34.96155122829664,BMI
male,2011-2012,NoDM,26.909763130579456,26.292567505375896,27.526958755783017,BMI
male,2011-2012,PreDM,28.79999220535405,28.347602246009153,29.25238216469895,BMI
male,2013-2014,DM,31.64231575800589,29.832882986148885,33.4517485298629,BMI
male,2013-2014,NoDM,26.538205828632577,25.888874759210054,27.1875368980551,BMI
male,2013-2014,PreDM,29.051097716850318,28.276515280654728,29.82568015304591,BMI
male,2015-2016,DM,31.466519524422488,29.541225328291272,33.3918137205537,BMI
male,2015-2016,NoDM,27.084336959667365,26.02244952623451,28.14622439310022,BMI
male,2015-2016,PreDM,29.416964757867902,28.65613411721689,30.177795398518914,BMI
male,2017-2018,DM,32.358439607080804,30.707669466780317,34.00920974738129,BMI
male,2017-2018,NoDM,26.370191009891297,25.429349229958447,27.311032789824147,BMI
male,2017-2018,PreDM,29.093925367499274,28.312640176554936,29.875210558443612,BMI
female,2011-2012,DM,37.95063814729241,34.98270853925479,40.91856775533003,Fat percentage
female,2011-2012,NoDM,36.38638596746082,35.4942970614491,37.27847487347253,Fat percentage
female,2011-2012,PreDM,37.53232528839944,36.358805111101695,38.70584546569719,Fat percentage
female,2013-2014,DM,38.38261350169818,36.04154786680025,40.72367913659611,Fat percentage
female,2013-2014,NoDM,36.79288292266336,36.044523780377986,37.54124206494873,Fat percentage
female,2013-2014,PreDM,38.379801144032506,37.159115180484534,39.60048710758048,Fat percentage
female,2015-2016,DM,39.05385191447966,36.99537748365449,41.11232634530483,Fat percentage
female,2015-2016,NoDM,36.39532035554089,35.415818176387766,37.37482253469401,Fat percentage
female,2015-2016,PreDM,37.98389539002761,36.91479586962439,39.052994910430826,Fat percentage
female,2017-2018,DM,38.848657084638816,36.461693203750194,41.23562096552743,Fat percentage
female,2017-2018,NoDM,35.96222727764214,34.67977684211392,37.24467771317037,Fat percentage
female,2017-2018,PreDM,37.94496033666672,36.73540799798195,39.154512675351484,Fat percentage
male,2011-2012,DM,33.828580989909305,30.49143787665369,37.16572410316492,Fat percentage
male,2011-2012,NoDM,27.378418720928213,26.316484220574896,28.44035322128153,Fat percentage
male,2011-2012,PreDM,30.55209134582122,29.624728519332457,31.479454172309985,Fat percentage
male,2013-2014,DM,32.57893328955218,30.48157933156974,34.676287247534624,Fat percentage
male,2013-2014,NoDM,27.86422235664815,26.78043461022736,28.94801010306894,Fat percentage
male,2013-2014,PreDM,30.509366967426963,29.42938371837684,31.589350216477087,Fat percentage
male,2015-2016,DM,33.48423183715831,30.715852536111388,36.25261113820523,Fat percentage
male,2015-2016,NoDM,27.889284467942257,26.394492918836153,29.38407601704836,Fat percentage
male,2015-2016,PreDM,31.569003043387593,30.06201549158606,33.075990595189126,Fat percentage
male,2017-2018,DM,35.094680936733496,32.795142897445636,37.39421897602136,Fat percentage
male,2017-2018,NoDM,27.05760465130344,25.37442800237002,28.740781300236858,Fat percentage
male,2017-2018,PreDM,31.34447307157739,30.163768951393166,32.525177191761614,Fat percentage
